name,capital,region,subregion,population,area,latitude,longitude,density,fecha_extraccion
Ivory Coast,Yamoussoukro,Africa,Western Africa,31719275,322463.0,8.0,-5.0,98.36562644396412,2026-04-14T16:56:47.771989
Italy,Rome,Europe,Southern Europe,58927633,301336.0,42.83333333,12.83333333,195.55457363209175,2026-04-14T16:56:47.772016
Kyrgyzstan,Bishkek,Asia,Central Asia,7281800,199951.0,41.0,75.0,36.417922390985794,2026-04-14T16:56:47.772023
Papua New Guinea,Port Moresby,Oceania,Melanesia,11781559,462840.0,-6.0,147.0,25.454928268948233,2026-04-14T16:56:47.772027
Fiji,Suva,Oceania,Melanesia,900869,18272.0,-17.7134,178.065,49.303250875656744,2026-04-14T16:56:47.772032
United Arab Emirates,Abu Dhabi,Asia,Western Asia,11294243,83600.0,24.0,54.0,135.0986004784689,2026-04-14T16:56:47.772036
Saint Kitts and Nevis,Basseterre,Americas,Caribbean,51320,261.0,17.33333333,-62.75,196.62835249042146,2026-04-14T16:56:47.772040
French Guiana,Cayenne,Americas,South America,292354,83534.0,4.0,-53.0,3.4998204323987836,2026-04-14T16:56:47.772044
Tanzania,Dodoma,Africa,Eastern Africa,68153004,947303.0,-6.0,35.0,71.94425015016314,2026-04-14T16:56:47.772047
Angola,Luanda,Africa,Middle Africa,36170961,1246700.0,-12.5,18.5,29.0133640811743,2026-04-14T16:56:47.772051
Togo,Lomé,Africa,Western Africa,8095498,56785.0,8.0,1.16666666,142.56402218895835,2026-04-14T16:56:47.772055
Finland,Helsinki,Europe,Northern Europe,5650325,338455.0,64.0,26.0,16.69446455215612,2026-04-14T16:56:47.772059
Malawi,Lilongwe,Africa,Eastern Africa,20734262,118484.0,-13.5,34.0,174.99630329833565,2026-04-14T16:56:47.772063
Mali,Bamako,Africa,Western Africa,22395489,1240192.0,17.0,-4.0,18.058082135669316,2026-04-14T16:56:47.772067
Uzbekistan,Tashkent,Asia,Central Asia,37859698,447400.0,41.0,64.0,84.62158694680376,2026-04-14T16:56:47.772070
Senegal,Dakar,Africa,Western Africa,18593258,196722.0,14.0,-14.0,94.5153973627759,2026-04-14T16:56:47.772074
Uganda,Kampala,Africa,Eastern Africa,45905417,241550.0,1.0,32.0,190.04519561167461,2026-04-14T16:56:47.772078
Djibouti,Djibouti,Africa,Eastern Africa,1066809,23200.0,11.5,43.0,45.98314655172414,2026-04-14T16:56:47.772082
South Sudan,Juba,Africa,Middle Africa,15786898,619745.0,7.0,30.0,25.47321559673737,2026-04-14T16:56:47.772085
Jersey,Saint Helier,Europe,Northern Europe,103267,116.0,49.25,-2.16666666,890.2327586206897,2026-04-14T16:56:47.772089
Tuvalu,Funafuti,Oceania,Polynesia,10643,26.0,-8.0,178.0,409.34615384615387,2026-04-14T16:56:47.772092
Japan,Tokyo,Asia,Eastern Asia,123210000,377930.0,36.0,138.0,326.01275368454475,2026-04-14T16:56:47.772107
Oman,Muscat,Asia,Western Asia,5343630,309500.0,21.0,57.0,17.265363489499194,2026-04-14T16:56:47.772116
Belgium,Brussels,Europe,Western Europe,11825551,30528.0,50.83333333,4.0,387.3673676624738,2026-04-14T16:56:47.772125
Saint Martin,Marigot,Americas,Caribbean,31496,53.0,18.0708,-63.0501,594.2641509433962,2026-04-14T16:56:47.772134
Mayotte,Mamoudzou,Africa,Eastern Africa,320901,374.0,-12.83333333,45.16666666,858.024064171123,2026-04-14T16:56:47.772141
France,Paris,Europe,Western Europe,66351959,543908.0,46.0,2.0,121.99114372283547,2026-04-14T16:56:47.772147
Bulgaria,Sofia,Europe,Southeast Europe,6437360,110879.0,43.0,25.0,58.05752216380018,2026-04-14T16:56:47.772151
Cyprus,Nicosia,Europe,Southern Europe,1442614,9251.0,35.0,33.0,155.94141173927142,2026-04-14T16:56:47.772154
South Korea,Seoul,Asia,Eastern Asia,51159889,100210.0,37.0,127.5,510.52678375411637,2026-04-14T16:56:47.772158
Mexico,Mexico City,Americas,North America,130575786,1964375.0,23.0,-102.0,66.47192414890232,2026-04-14T16:56:47.772166
North Macedonia,Skopje,Europe,Southeast Europe,1822612,25713.0,41.83333333,22.0,70.88289970054058,2026-04-14T16:56:47.772170
Guyana,Georgetown,Americas,South America,772975,214969.0,5.0,-59.0,3.5957510152626657,2026-04-14T16:56:47.772173
